Item,RowDesc,Past Due
966-2631-003,Plan Build Remaining,0
966-2631-003,Plan Delivery Qty,2
966-2700-004,Plan Build Remaining,1012
966-2700-004,Plan Delivery Qty,0
966-2724-001,Plan Build Remaining,
966-2724-001,Plan Delivery Qty,
966-2859-010,Plan Build Remaining,2209
966-2859-010,Plan Delivery Qty,112
966-3200-004,Plan Build Remaining,40
966-3200-004,Plan Delivery Qty,
966-3200-104,Plan Build Remaining,
966-3200-104,Plan Delivery Qty,
966-3648-001,Plan Build Remaining,302
966-3648-001,Plan Delivery Qty,8195
966-3648-001=R,Plan Build Remaining,0
966-3648-001=R,Plan Delivery Qty,50
966-4011-002,Plan Build Remaining,96
966-4011-002,Plan Delivery Qty,96
966-4325-004,Plan Build Remaining,1
966-4325-004,Plan Delivery Qty,
966-4333-003,Plan Build Remaining,3
966-4333-003,Plan Delivery Qty,3
966-4516-007,Plan Build Remaining,4166
966-4516-007,Plan Delivery Qty,2352
966-4518-006,Plan Build Remaining,808
966-4518-006,Plan Delivery Qty,2236
966-4550-012,Plan Build Remaining,
966-4550-012,Plan Delivery Qty,
966-4560-002,Plan Build Remaining,
966-4560-002,Plan Delivery Qty,
966-4974-003,Plan Build Remaining,
966-4974-003,Plan Delivery Qty,
966-5704-005,Plan Build Remaining,
966-5704-005,Plan Delivery Qty,
966-5704-015,Plan Build Remaining,128
966-5704-015,Plan Delivery Qty,
966-5851-003,Plan Build Remaining,0
966-5851-003,Plan Delivery Qty,2
966-6305-002,Plan Build Remaining,
966-6305-002,Plan Delivery Qty,
966-6305-202,Plan Build Remaining,
966-6305-202,Plan Delivery Qty,
966-6307-002,Plan Build Remaining,0
966-6307-002,Plan Delivery Qty,
966-6307-102,Plan Build Remaining,0
966-6307-102,Plan Delivery Qty,1
966-6307-202,Plan Build Remaining,
966-6307-202,Plan Delivery Qty,
966-6309-002,Plan Build Remaining,
966-6309-002,Plan Delivery Qty,
966-6584-004,Plan Build Remaining,
966-6584-004,Plan Delivery Qty,
966-6584-014,Plan Build Remaining,214
966-6584-014,Plan Delivery Qty,40
966-6586-004,Plan Build Remaining,260
966-6586-004,Plan Delivery Qty,4
966-6586-005,Plan Build Remaining,182
966-6586-005,Plan Delivery Qty,
966-6969-004,Plan Build Remaining,110
966-6969-004,Plan Delivery Qty,
966-6971-005,Plan Build Remaining,110
966-6971-005,Plan Delivery Qty,
966-6973-003,Plan Build Remaining,
966-6973-003,Plan Delivery Qty,
966-6973-004,Plan Build Remaining,168
966-6973-004,Plan Delivery Qty,
966-6973-005,Plan Build Remaining,0
966-6973-005,Plan Delivery Qty,0
966-6973-103,Plan Build Remaining,98
966-6973-103,Plan Delivery Qty,
966-6973-104,Plan Build Remaining,821
966-6973-104,Plan Delivery Qty,75
966-7297-302,Plan Build Remaining,
966-7297-302,Plan Delivery Qty,
966-7400-011,Plan Build Remaining,468
966-7400-011,Plan Delivery Qty,48
966-7715-004,Plan Build Remaining,
966-7715-004,Plan Delivery Qty,
966-7715-104,Plan Build Remaining,
966-7715-104,Plan Delivery Qty,
966-7964-004,Plan Build Remaining,
966-7964-004,Plan Delivery Qty,
966-7964-014,Plan Build Remaining,
966-7964-014,Plan Delivery Qty,
966-7964-404,Plan Build Remaining,
966-7964-404,Plan Delivery Qty,
966-8303-003,Plan Build Remaining,10
966-8303-003,Plan Delivery Qty,0
966-8303-403,Plan Build Remaining,
966-8303-403,Plan Delivery Qty,
966-8460-002,Plan Build Remaining,
966-8460-002,Plan Delivery Qty,
966-8492-004,Plan Build Remaining,50
966-8492-004,Plan Delivery Qty,
966-8492-014,Plan Build Remaining,
966-8492-014,Plan Delivery Qty,
966-8500-001,Plan Build Remaining,
966-8500-001,Plan Delivery Qty,
966-8532-021,Plan Build Remaining,
966-8532-021,Plan Delivery Qty,
966-8572-001,Plan Build Remaining,
966-8572-001,Plan Delivery Qty,
966-8574-001,Plan Build Remaining,
966-8574-001,Plan Delivery Qty,
966-8736-002,Plan Build Remaining,
966-8736-002,Plan Delivery Qty,
983-9834-111,Plan Build Remaining,33
983-9834-111,Plan Delivery Qty,15
983-9834-111+SA,Plan Build Remaining,1
983-9834-111+SA,Plan Delivery Qty,18
983-9834-212,Plan Build Remaining,234
983-9834-212,Plan Delivery Qty,328
983-9834-212+SA,Plan Build Remaining,1
983-9834-212+SA,Plan Delivery Qty,182
985-0043-053,Plan Build Remaining,
985-0043-053,Plan Delivery Qty,
987-0001-220,Plan Build Remaining,
987-0001-220,Plan Delivery Qty,
987-0018-654,Plan Build Remaining,22
987-0018-654,Plan Delivery Qty,2
987-0018-661,Plan Build Remaining,430
987-0018-661,Plan Delivery Qty,444
987-0018-661+PR,Plan Build Remaining,-102
987-0018-661+PR,Plan Delivery Qty,392
987-2094-004,Plan Build Remaining,3
987-2094-004,Plan Delivery Qty,583
987-2434-300,Plan Build Remaining,328
987-2434-300,Plan Delivery Qty,194
987-2618-011,Plan Build Remaining,1
987-2618-011,Plan Delivery Qty,2
987-2618-021,Plan Build Remaining,3
987-2618-021,Plan Delivery Qty,3
987-2618-121,Plan Build Remaining,364
987-2618-121,Plan Delivery Qty,298
987-2618-121+TL,Plan Build Remaining,2
987-2618-121+TL,Plan Delivery Qty,43
987-2618-221,Plan Build Remaining,262
987-2618-221,Plan Delivery Qty,125
987-2618-221+TL,Plan Build Remaining,3
987-2618-221+TL,Plan Delivery Qty,42
987-2618-321,Plan Build Remaining,449
987-2618-321,Plan Delivery Qty,233
987-2618-321+TL,Plan Build Remaining,98
987-2618-321+TL,Plan Delivery Qty,91
987-2618-421,Plan Build Remaining,13
