Item,RowDesc,Past Due
966-2303-001,Plan Build Remaining,
966-2303-001,Plan Delivery Qty,
966-2335-002,Plan Build Remaining,0
966-2335-002,Plan Delivery Qty,480
966-2359-008,Plan Build Remaining,
966-2359-008,Plan Delivery Qty,
966-2359-009,Plan Build Remaining,1
966-2359-009,Plan Delivery Qty,
966-2499-006,Plan Build Remaining,
966-2499-006,Plan Delivery Qty,
966-2631-003,Plan Build Remaining,120
966-2631-003,Plan Delivery Qty,154
966-2700-003,Plan Build Remaining,720
966-2700-003,Plan Delivery Qty,24
966-2700-004,Plan Build Remaining,1
966-2700-004,Plan Delivery Qty,
966-2724-001,Plan Build Remaining,
966-2724-001,Plan Delivery Qty,
966-2859-010,Plan Build Remaining,1320
966-2859-010,Plan Delivery Qty,121
966-3200-004,Plan Build Remaining,
966-3200-004,Plan Delivery Qty,
966-3200-104,Plan Build Remaining,70
966-3200-104,Plan Delivery Qty,
966-3648-001,Plan Build Remaining,4155
966-3648-001,Plan Delivery Qty,2250
966-4011-002,Plan Build Remaining,0
966-4011-002,Plan Delivery Qty,2
966-4325-004,Plan Build Remaining,
966-4325-004,Plan Delivery Qty,
966-4333-003,Plan Build Remaining,270
966-4333-003,Plan Delivery Qty,10
966-4516-007,Plan Build Remaining,10646
966-4516-007,Plan Delivery Qty,8857
966-4518-006,Plan Build Remaining,3250
966-4518-006,Plan Delivery Qty,10149
966-4550-012,Plan Build Remaining,40
966-4550-012,Plan Delivery Qty,
966-4550-022,Plan Build Remaining,60
966-4550-022,Plan Delivery Qty,
966-4560-002,Plan Build Remaining,56
966-4560-002,Plan Delivery Qty,48
966-4974-003,Plan Build Remaining,
966-4974-003,Plan Delivery Qty,
966-5704-005,Plan Build Remaining,
966-5704-005,Plan Delivery Qty,
966-6305-002,Plan Build Remaining,32
966-6305-002,Plan Delivery Qty,
966-6307-102,Plan Build Remaining,18
966-6307-102,Plan Delivery Qty,
966-6309-002,Plan Build Remaining,
966-6309-002,Plan Delivery Qty,
966-6584-004,Plan Build Remaining,
966-6584-004,Plan Delivery Qty,
966-6584-014,Plan Build Remaining,
966-6584-014,Plan Delivery Qty,
966-6586-004,Plan Build Remaining,490
966-6586-004,Plan Delivery Qty,52
966-6586-005,Plan Build Remaining,0
966-6586-005,Plan Delivery Qty,1
966-6969-004,Plan Build Remaining,320
966-6969-004,Plan Delivery Qty,330
966-6971-004,Plan Build Remaining,
966-6971-004,Plan Delivery Qty,
966-6971-005,Plan Build Remaining,210
966-6971-005,Plan Delivery Qty,
966-6973-003,Plan Build Remaining,
966-6973-003,Plan Delivery Qty,
966-6973-004,Plan Build Remaining,121
966-6973-004,Plan Delivery Qty,1
966-6973-103,Plan Build Remaining,192
966-6973-103,Plan Delivery Qty,4
966-6973-104,Plan Build Remaining,149
966-6973-104,Plan Delivery Qty,57
966-7297-302,Plan Build Remaining,
966-7297-302,Plan Delivery Qty,
966-7400-011,Plan Build Remaining,1096
966-7400-011,Plan Delivery Qty,246
966-7715-004,Plan Build Remaining,36
966-7715-004,Plan Delivery Qty,
966-7964-004,Plan Build Remaining,
966-7964-004,Plan Delivery Qty,
