Item,RowDesc,Monday of Week,Weekday,mMatrixValue
601-0600-008,Plan Build Qty,6/16/2025 0:00,Thu,
601-0600-008,Plan Build Qty,6/16/2025 0:00,Fri,
601-0600-008,Plan Build Qty,6/16/2025 0:00,Sat,
601-0600-008,Plan Build Qty,6/23/2025 0:00,Sun,
601-0600-008,Plan Build Qty,6/23/2025 0:00,Mon,1620
601-0600-008,Plan Build Qty,6/23/2025 0:00,Tue,
601-0600-008,Plan Build Qty,6/23/2025 0:00,Wed,
601-0600-008,Plan Build Qty,6/23/2025 0:00,Thu,
601-0600-008,Plan Build Qty,6/23/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,5/19/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,5/26/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,5/26/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,5/26/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,5/26/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,5/26/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,5/26/2025 0:00,Fri,7
601-0600-008,Plan Delivery Qty,5/26/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,6/2/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,6/2/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,6/2/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,6/2/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,6/2/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,6/2/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,6/2/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,6/9/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,6/9/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,6/9/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,6/9/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,6/9/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,6/9/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,6/9/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,6/16/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,6/16/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,6/16/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,6/16/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,6/16/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,6/16/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,6/16/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,6/23/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,6/23/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,6/23/2025 0:00,Tue,585
601-0600-008,Plan Delivery Qty,6/23/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,6/23/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,6/23/2025 0:00,Fri,
766-0000-001,Plan Build Qty,5/19/2025 0:00,Sat,
766-0000-001,Plan Build Qty,5/26/2025 0:00,Sun,
766-0000-001,Plan Build Qty,5/26/2025 0:00,Mon,
766-0000-001,Plan Build Qty,5/26/2025 0:00,Tue,6
766-0000-001,Plan Build Qty,5/26/2025 0:00,Wed,
766-0000-001,Plan Build Qty,5/26/2025 0:00,Thu,
766-0000-001,Plan Build Qty,5/26/2025 0:00,Fri,
766-0000-001,Plan Build Qty,5/26/2025 0:00,Sat,
766-0000-001,Plan Build Qty,6/2/2025 0:00,Sun,
766-0000-001,Plan Build Qty,6/2/2025 0:00,Mon,
766-0000-001,Plan Build Qty,6/2/2025 0:00,Tue,
766-0000-001,Plan Build Qty,6/2/2025 0:00,Wed,
766-0000-001,Plan Build Qty,6/2/2025 0:00,Thu,
766-0000-001,Plan Build Qty,6/2/2025 0:00,Fri,
766-0000-001,Plan Build Qty,6/2/2025 0:00,Sat,
766-0000-001,Plan Build Qty,6/9/2025 0:00,Sun,
766-0000-001,Plan Build Qty,6/9/2025 0:00,Mon,
766-0000-001,Plan Build Qty,6/9/2025 0:00,Tue,16
766-0000-001,Plan Build Qty,6/9/2025 0:00,Wed,
766-0000-001,Plan Build Qty,6/9/2025 0:00,Thu,
766-0000-001,Plan Build Qty,6/9/2025 0:00,Fri,
766-0000-001,Plan Build Qty,6/9/2025 0:00,Sat,
766-0000-001,Plan Build Qty,6/16/2025 0:00,Sun,
766-0000-001,Plan Build Qty,6/16/2025 0:00,Mon,
766-0000-001,Plan Build Qty,6/16/2025 0:00,Tue,
766-0000-001,Plan Build Qty,6/16/2025 0:00,Wed,
766-0000-001,Plan Build Qty,6/16/2025 0:00,Thu,
766-0000-001,Plan Build Qty,6/16/2025 0:00,Fri,
766-0000-001,Plan Build Qty,6/16/2025 0:00,Sat,
766-0000-001,Plan Build Qty,6/23/2025 0:00,Sun,
766-0000-001,Plan Build Qty,6/23/2025 0:00,Mon,
766-0000-001,Plan Build Qty,6/23/2025 0:00,Tue,16
766-0000-001,Plan Build Qty,6/23/2025 0:00,Wed,
766-0000-001,Plan Build Qty,6/23/2025 0:00,Thu,
766-0000-001,Plan Build Qty,6/23/2025 0:00,Fri,
766-0000-001,Plan Delivery Qty,5/19/2025 0:00,Sat,
766-0000-001,Plan Delivery Qty,5/26/2025 0:00,Sun,
766-0000-001,Plan Delivery Qty,5/26/2025 0:00,Mon,
766-0000-001,Plan Delivery Qty,5/26/2025 0:00,Tue,6
766-0000-001,Plan Delivery Qty,5/26/2025 0:00,Wed,
766-0000-001,Plan Delivery Qty,5/26/2025 0:00,Thu,
766-0000-001,Plan Delivery Qty,5/26/2025 0:00,Fri,
766-0000-001,Plan Delivery Qty,5/26/2025 0:00,Sat,
766-0000-001,Plan Delivery Qty,6/2/2025 0:00,Sun,
766-0000-001,Plan Delivery Qty,6/2/2025 0:00,Mon,
766-0000-001,Plan Delivery Qty,6/2/2025 0:00,Tue,
766-0000-001,Plan Delivery Qty,6/2/2025 0:00,Wed,
766-0000-001,Plan Delivery Qty,6/2/2025 0:00,Thu,
766-0000-001,Plan Delivery Qty,6/2/2025 0:00,Fri,
766-0000-001,Plan Delivery Qty,6/2/2025 0:00,Sat,
766-0000-001,Plan Delivery Qty,6/9/2025 0:00,Sun,
766-0000-001,Plan Delivery Qty,6/9/2025 0:00,Mon,
766-0000-001,Plan Delivery Qty,6/9/2025 0:00,Tue,
766-0000-001,Plan Delivery Qty,6/9/2025 0:00,Wed,
766-0000-001,Plan Delivery Qty,6/9/2025 0:00,Thu,
766-0000-001,Plan Delivery Qty,6/9/2025 0:00,Fri,
766-0000-001,Plan Delivery Qty,6/9/2025 0:00,Sat,
766-0000-001,Plan Delivery Qty,6/16/2025 0:00,Sun,
766-0000-001,Plan Delivery Qty,6/16/2025 0:00,Mon,
766-0000-001,Plan Delivery Qty,6/16/2025 0:00,Tue,16
766-0000-001,Plan Delivery Qty,6/16/2025 0:00,Wed,
766-0000-001,Plan Delivery Qty,6/16/2025 0:00,Thu,
766-0000-001,Plan Delivery Qty,6/16/2025 0:00,Fri,
766-0000-001,Plan Delivery Qty,6/16/2025 0:00,Sat,
766-0000-001,Plan Delivery Qty,6/23/2025 0:00,Sun,
766-0000-001,Plan Delivery Qty,6/23/2025 0:00,Mon,
766-0000-001,Plan Delivery Qty,6/23/2025 0:00,Tue,
766-0000-001,Plan Delivery Qty,6/23/2025 0:00,Wed,
766-0000-001,Plan Delivery Qty,6/23/2025 0:00,Thu,
766-0000-001,Plan Delivery Qty,6/23/2025 0:00,Fri,
766-0000-001+TL,Plan Build Qty,5/19/2025 0:00,Sat,
766-0000-001+TL,Plan Build Qty,5/26/2025 0:00,Sun,
766-0000-001+TL,Plan Build Qty,5/26/2025 0:00,Mon,
766-0000-001+TL,Plan Build Qty,5/26/2025 0:00,Tue,15
766-0000-001+TL,Plan Build Qty,5/26/2025 0:00,Wed,
766-0000-001+TL,Plan Build Qty,5/26/2025 0:00,Thu,
766-0000-001+TL,Plan Build Qty,5/26/2025 0:00,Fri,
766-0000-001+TL,Plan Build Qty,5/26/2025 0:00,Sat,
766-0000-001+TL,Plan Build Qty,6/2/2025 0:00,Sun,
766-0000-001+TL,Plan Build Qty,6/2/2025 0:00,Mon,
766-0000-001+TL,Plan Build Qty,6/2/2025 0:00,Tue,
766-0000-001+TL,Plan Build Qty,6/2/2025 0:00,Wed,
766-0000-001+TL,Plan Build Qty,6/2/2025 0:00,Thu,
766-0000-001+TL,Plan Build Qty,6/2/2025 0:00,Fri,
766-0000-001+TL,Plan Build Qty,6/2/2025 0:00,Sat,
766-0000-001+TL,Plan Build Qty,6/9/2025 0:00,Sun,
766-0000-001+TL,Plan Build Qty,6/9/2025 0:00,Mon,
766-0000-001+TL,Plan Build Qty,6/9/2025 0:00,Tue,
766-0000-001+TL,Plan Build Qty,6/9/2025 0:00,Wed,
766-0000-001+TL,Plan Build Qty,6/9/2025 0:00,Thu,
766-0000-001+TL,Plan Build Qty,6/9/2025 0:00,Fri,
766-0000-001+TL,Plan Build Qty,6/9/2025 0:00,Sat,
766-0000-001+TL,Plan Build Qty,6/16/2025 0:00,Sun,
766-0000-001+TL,Plan Build Qty,6/16/2025 0:00,Mon,
766-0000-001+TL,Plan Build Qty,6/16/2025 0:00,Tue,
766-0000-001+TL,Plan Build Qty,6/16/2025 0:00,Wed,
766-0000-001+TL,Plan Build Qty,6/16/2025 0:00,Thu,
766-0000-001+TL,Plan Build Qty,6/16/2025 0:00,Fri,
766-0000-001+TL,Plan Build Qty,6/16/2025 0:00,Sat,
766-0000-001+TL,Plan Build Qty,6/23/2025 0:00,Sun,
766-0000-001+TL,Plan Build Qty,6/23/2025 0:00,Mon,
