Item,RowDesc,Past Due
966-2188-104,Plan Delivery Qty,4
966-2300-482,Plan Build Remaining,312
966-2300-482,Plan Delivery Qty,
966-2300-582,Plan Build Remaining,
966-2300-582,Plan Delivery Qty,
966-2303-001,Plan Build Remaining,504
966-2303-001,Plan Delivery Qty,
966-2335-002,Plan Build Remaining,0
966-2335-002,Plan Delivery Qty,110
966-2359-009,Plan Build Remaining,
966-2359-009,Plan Delivery Qty,
966-2499-006,Plan Build Remaining,0
966-2499-006,Plan Delivery Qty,28
966-2631-003,Plan Build Remaining,0
966-2631-003,Plan Delivery Qty,1
966-2700-004,Plan Build Remaining,559
966-2700-004,Plan Delivery Qty,
966-2724-001,Plan Build Remaining,
966-2724-001,Plan Delivery Qty,
966-2859-010,Plan Build Remaining,1803
966-2859-010,Plan Delivery Qty,1
966-3200-004,Plan Build Remaining,
966-3200-004,Plan Delivery Qty,
966-3200-104,Plan Build Remaining,
966-3200-104,Plan Delivery Qty,
966-3648-001,Plan Build Remaining,5792
966-3648-001,Plan Delivery Qty,10755
966-3648-001=R,Plan Build Remaining,
966-3648-001=R,Plan Delivery Qty,
966-4011-002,Plan Build Remaining,144
966-4011-002,Plan Delivery Qty,98
966-4325-004,Plan Build Remaining,
966-4325-004,Plan Delivery Qty,
966-4333-003,Plan Build Remaining,271
966-4333-003,Plan Delivery Qty,109
966-4516-007,Plan Build Remaining,8010
966-4516-007,Plan Delivery Qty,3517
966-4518-006,Plan Build Remaining,244
966-4518-006,Plan Delivery Qty,3957
966-4550-012,Plan Build Remaining,
966-4550-012,Plan Delivery Qty,
966-4560-002,Plan Build Remaining,
966-4560-002,Plan Delivery Qty,
966-4974-003,Plan Build Remaining,14
966-4974-003,Plan Delivery Qty,
966-5704-005,Plan Build Remaining,
966-5704-005,Plan Delivery Qty,
966-5704-015,Plan Build Remaining,
966-5704-015,Plan Delivery Qty,
966-5851-003,Plan Build Remaining,
966-5851-003,Plan Delivery Qty,
966-6305-002,Plan Build Remaining,10
966-6305-002,Plan Delivery Qty,
966-6305-003,Plan Build Remaining,
966-6305-003,Plan Delivery Qty,
966-6305-202,Plan Build Remaining,1
966-6305-202,Plan Delivery Qty,
966-6307-002,Plan Build Remaining,
966-6307-002,Plan Delivery Qty,
966-6307-102,Plan Build Remaining,0
966-6307-102,Plan Delivery Qty,
966-6307-202,Plan Build Remaining,0
966-6307-202,Plan Delivery Qty,
966-6309-002,Plan Build Remaining,24
966-6309-002,Plan Delivery Qty,
966-6584-004,Plan Build Remaining,
966-6584-004,Plan Delivery Qty,
966-6584-014,Plan Build Remaining,50
966-6584-014,Plan Delivery Qty,50
966-6586-004,Plan Build Remaining,180
966-6586-004,Plan Delivery Qty,
966-6586-005,Plan Build Remaining,122
966-6586-005,Plan Delivery Qty,2
966-6969-004,Plan Build Remaining,0
966-6969-004,Plan Delivery Qty,
966-6971-005,Plan Build Remaining,32
966-6971-005,Plan Delivery Qty,
966-6973-003,Plan Build Remaining,93
966-6973-003,Plan Delivery Qty,
966-6973-004,Plan Build Remaining,54
966-6973-004,Plan Delivery Qty,
966-6973-103,Plan Build Remaining,120
966-6973-103,Plan Delivery Qty,
966-6973-104,Plan Build Remaining,297
966-6973-104,Plan Delivery Qty,
966-7297-302,Plan Build Remaining,
966-7297-302,Plan Delivery Qty,
966-7400-011,Plan Build Remaining,16
966-7400-011,Plan Delivery Qty,3
966-7715-004,Plan Build Remaining,
966-7715-004,Plan Delivery Qty,
966-7715-104,Plan Build Remaining,0
966-7715-104,Plan Delivery Qty,2
966-7797-001,Plan Build Remaining,
966-7797-001,Plan Delivery Qty,
966-7964-004,Plan Build Remaining,
966-7964-004,Plan Delivery Qty,
966-7964-014,Plan Build Remaining,
966-7964-014,Plan Delivery Qty,
966-7964-404,Plan Build Remaining,
966-7964-404,Plan Delivery Qty,
966-8303-003,Plan Build Remaining,1
966-8303-003,Plan Delivery Qty,1
966-8303-403,Plan Build Remaining,
966-8303-403,Plan Delivery Qty,
966-8460-002,Plan Build Remaining,
966-8460-002,Plan Delivery Qty,
966-8492-004,Plan Build Remaining,
966-8492-004,Plan Delivery Qty,
966-8492-014,Plan Build Remaining,
966-8492-014,Plan Delivery Qty,
966-8500-001,Plan Build Remaining,
966-8500-001,Plan Delivery Qty,
966-8532-021,Plan Build Remaining,
966-8532-021,Plan Delivery Qty,
966-8572-001,Plan Build Remaining,
966-8572-001,Plan Delivery Qty,
966-8574-001,Plan Build Remaining,
966-8574-001,Plan Delivery Qty,
966-8660-012,Plan Build Remaining,2
966-8660-012,Plan Delivery Qty,
966-8736-002,Plan Build Remaining,
966-8736-002,Plan Delivery Qty,
983-9834-111,Plan Build Remaining,45
983-9834-111,Plan Delivery Qty,43
983-9834-111+SA,Plan Build Remaining,0
983-9834-111+SA,Plan Delivery Qty,31
983-9834-212,Plan Build Remaining,134
983-9834-212,Plan Delivery Qty,273
983-9834-212+SA,Plan Build Remaining,-1
983-9834-212+SA,Plan Delivery Qty,188
985-0043-053,Plan Build Remaining,
985-0043-053,Plan Delivery Qty,
987-0001-220,Plan Build Remaining,
987-0001-220,Plan Delivery Qty,
987-0018-654,Plan Build Remaining,85
987-0018-654,Plan Delivery Qty,70
987-0018-661,Plan Build Remaining,588
987-0018-661,Plan Delivery Qty,325
987-0018-661+PR,Plan Build Remaining,-48
987-0018-661+PR,Plan Delivery Qty,615
987-2094-004,Plan Build Remaining,132
987-2094-004,Plan Delivery Qty,409
987-2434-300,Plan Build Remaining,272
987-2434-300,Plan Delivery Qty,382
987-2618-011,Plan Build Remaining,
987-2618-011,Plan Delivery Qty,
987-2618-021,Plan Build Remaining,18
987-2618-021,Plan Delivery Qty,18
987-2618-021+TL,Plan Build Remaining,0
987-2618-021+TL,Plan Delivery Qty,3
987-2618-121,Plan Build Remaining,147
987-2618-121,Plan Delivery Qty,11
987-2618-121+TL,Plan Build Remaining,68
987-2618-121+TL,Plan Delivery Qty,12
987-2618-221,Plan Build Remaining,151
987-2618-221,Plan Delivery Qty,41
987-2618-221+TL,Plan Build Remaining,72
987-2618-221+TL,Plan Delivery Qty,48
987-2618-321,Plan Build Remaining,246
987-2618-321,Plan Delivery Qty,183
987-2618-321+TL,Plan Build Remaining,154
987-2618-321+TL,Plan Delivery Qty,145
987-2618-421,Plan Build Remaining,1
987-2618-421,Plan Delivery Qty,1
987-3594-100,Plan Build Remaining,0
987-3594-100,Plan Delivery Qty,11
987-3594-110,Plan Build Remaining,-17
987-3594-110,Plan Delivery Qty,196
987-3594-200,Plan Build Remaining,8
987-3594-200,Plan Delivery Qty,59
987-3594-210,Plan Build Remaining,
987-3594-210,Plan Delivery Qty,
987-4633-001,Plan Build Remaining,
987-4633-001,Plan Delivery Qty,
987-4633-001+TL,Plan Build Remaining,
987-4633-001+TL,Plan Delivery Qty,
987-7173-080,Plan Build Remaining,6
987-7173-080,Plan Delivery Qty,52
987-7173-090,Plan Build Remaining,0
987-7173-090,Plan Delivery Qty,12
987-7173-180,Plan Build Remaining,
987-7173-180,Plan Delivery Qty,
987-7173-884,Plan Build Remaining,172
987-7173-884,Plan Delivery Qty,269
987-7173-884+SA,Plan Build Remaining,35
987-7173-884+SA,Plan Delivery Qty,184
987-7173-885,Plan Build Remaining,0
987-7173-885,Plan Delivery Qty,4
987-7173-885+SA,Plan Build Remaining,0
987-7173-885+SA,Plan Delivery Qty,9
987-8574-730,Plan Build Remaining,
987-8574-730,Plan Delivery Qty,
987-8574-763,Plan Build Remaining,
987-8574-763,Plan Delivery Qty,
987-8760-002,Plan Build Remaining,
987-8760-002,Plan Delivery Qty,
987-8760-002+TL,Plan Build Remaining,0
987-8760-002+TL,Plan Delivery Qty,6
987-8770-002,Plan Build Remaining,195
987-8770-002,Plan Delivery Qty,15
987-9055-202,Plan Build Remaining,16
987-9055-202,Plan Delivery Qty,238
987-9055-202+TL,Plan Build Remaining,19
987-9055-202+TL,Plan Delivery Qty,174
987-9658-001,Plan Build Remaining,6
987-9658-001,Plan Delivery Qty,14
987-9658-001+TL,Plan Build Remaining,0
987-9658-001+TL,Plan Delivery Qty,1
987-9658-101,Plan Build Remaining,
987-9658-101,Plan Delivery Qty,
987-9658-101+TL,Plan Build Remaining,50
987-9658-101+TL,Plan Delivery Qty,
987-9705-001,Plan Build Remaining,3
987-9705-001,Plan Delivery Qty,19
987-9705-001+TL,Plan Build Remaining,49
987-9705-001+TL,Plan Delivery Qty,
987-9705-012,Plan Build Remaining,0
987-9705-012,Plan Delivery Qty,381
987-9705-012+TL,Plan Build Remaining,100
987-9705-012+TL,Plan Delivery Qty,167
987-9705-112,Plan Build Remaining,1
987-9705-112,Plan Delivery Qty,
987-9968-175,Plan Build Remaining,2
987-9968-175,Plan Delivery Qty,2
ASM-0032-001,Plan Build Remaining,
ASM-0032-001,Plan Delivery Qty,
CCA-000C-001,Plan Build Remaining,
CCA-000C-001,Plan Delivery Qty,
CCA-000D-001,Plan Build Remaining,
CCA-000D-001,Plan Delivery Qty,
CCA-0012-002,Plan Build Remaining,
CCA-0012-002,Plan Delivery Qty,
CCA-002B-001,Plan Build Remaining,
CCA-002B-001,Plan Delivery Qty,
CCA-003D-001,Plan Build Remaining,
CCA-003D-001,Plan Delivery Qty,
CCA-004D-102,Plan Build Remaining,
CCA-004D-102,Plan Delivery Qty,
CCA-0069-001,Plan Build Remaining,
CCA-0069-001,Plan Delivery Qty,
NON-STD-BUILD,Plan Build Remaining,
NON-STD-BUILD,Plan Delivery Qty,
