Item,RowDesc,Monday of Week,Weekday,mMatrixValue
601-0600-008,Plan Build Qty,2025-12-08 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-12-15 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-12-15 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-12-15 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-12-15 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-12-15 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-12-15 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-12-15 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-12-22 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-12-22 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-12-22 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-12-22 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-12-22 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-12-22 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-11-17 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-11-24 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-11-24 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-11-24 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-11-24 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-11-24 00:00:00,Thu,1530
601-0600-008,Plan Delivery Qty,2025-11-24 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-11-24 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-12-01 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-12-01 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-12-01 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-12-01 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-12-01 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-12-01 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-12-01 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-12-08 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-12-08 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-12-08 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-12-08 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-12-08 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-12-08 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-12-08 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-12-15 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-12-15 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-12-15 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-12-15 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-12-15 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-12-15 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-12-15 00:00:00,Sat,1845
601-0600-008,Plan Delivery Qty,2025-12-22 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-12-22 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-12-22 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-12-22 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-12-22 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-12-22 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-11-17 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-11-24 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-11-24 00:00:00,Mon,46
766-0000-001,Plan Build Qty,2025-11-24 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-11-24 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-11-24 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-11-24 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-11-24 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-12-01 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-12-01 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-12-01 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-12-01 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-12-01 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-12-01 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-12-01 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-12-08 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-12-08 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-12-08 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-12-08 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-12-08 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-12-08 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-12-08 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-12-15 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-12-15 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-12-15 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-12-15 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-12-15 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-12-15 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-12-15 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-12-22 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-12-22 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-12-22 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-12-22 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-12-22 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-12-22 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-11-17 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-11-24 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-11-24 00:00:00,Mon,
766-0000-001,Plan Delivery Qty,2025-11-24 00:00:00,Tue,50
766-0000-001,Plan Delivery Qty,2025-11-24 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-11-24 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-11-24 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-11-24 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-12-01 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-12-01 00:00:00,Mon,5
766-0000-001,Plan Delivery Qty,2025-12-01 00:00:00,Tue,
766-0000-001,Plan Delivery Qty,2025-12-01 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-12-01 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-12-01 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-12-01 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-12-08 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-12-08 00:00:00,Mon,
766-0000-001,Plan Delivery Qty,2025-12-08 00:00:00,Tue,
766-0000-001,Plan Delivery Qty,2025-12-08 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-12-08 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-12-08 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-12-08 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-12-15 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-12-15 00:00:00,Mon,
766-0000-001,Plan Delivery Qty,2025-12-15 00:00:00,Tue,
766-0000-001,Plan Delivery Qty,2025-12-15 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-12-15 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-12-15 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-12-15 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-12-22 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-12-22 00:00:00,Mon,
766-0000-001,Plan Delivery Qty,2025-12-22 00:00:00,Tue,
766-0000-001,Plan Delivery Qty,2025-12-22 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-12-22 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-12-22 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-11-17 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-11-24 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-11-24 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-11-24 00:00:00,Tue,
766-0000-001+TL,Plan Build Qty,2025-11-24 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-11-24 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-11-24 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-11-24 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-12-01 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-12-01 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-12-01 00:00:00,Tue,
766-0000-001+TL,Plan Build Qty,2025-12-01 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-12-01 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-12-01 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-12-01 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-12-08 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-12-08 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-12-08 00:00:00,Tue,
766-0000-001+TL,Plan Build Qty,2025-12-08 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-12-08 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-12-08 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-12-08 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-12-15 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-12-15 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-12-15 00:00:00,Tue,52
766-0000-001+TL,Plan Build Qty,2025-12-15 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-12-15 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-12-15 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-12-15 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-12-22 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-12-22 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-12-22 00:00:00,Tue,
766-0000-001+TL,Plan Build Qty,2025-12-22 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-12-22 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-12-22 00:00:00,Fri,
766-0000-001+TL,Plan Delivery Qty,2025-11-17 00:00:00,Sat,
766-0000-001+TL,Plan Delivery Qty,2025-11-24 00:00:00,Sun,
766-0000-001+TL,Plan Delivery Qty,2025-11-24 00:00:00,Mon,
766-0000-001+TL,Plan Delivery Qty,2025-11-24 00:00:00,Tue,
766-0000-001+TL,Plan Delivery Qty,2025-11-24 00:00:00,Wed,
766-0000-001+TL,Plan Delivery Qty,2025-11-24 00:00:00,Thu,
766-0000-001+TL,Plan Delivery Qty,2025-11-24 00:00:00,Fri,
766-0000-001+TL,Plan Delivery Qty,2025-11-24 00:00:00,Sat,
766-0000-001+TL,Plan Delivery Qty,2025-12-01 00:00:00,Sun,
766-0000-001+TL,Plan Delivery Qty,2025-12-01 00:00:00,Mon,
766-0000-001+TL,Plan Delivery Qty,2025-12-01 00:00:00,Tue,
766-0000-001+TL,Plan Delivery Qty,2025-12-01 00:00:00,Wed,
766-0000-001+TL,Plan Delivery Qty,2025-12-01 00:00:00,Thu,
766-0000-001+TL,Plan Delivery Qty,2025-12-01 00:00:00,Fri,
766-0000-001+TL,Plan Delivery Qty,2025-12-01 00:00:00,Sat,
766-0000-001+TL,Plan Delivery Qty,2025-12-08 00:00:00,Sun,
766-0000-001+TL,Plan Delivery Qty,2025-12-08 00:00:00,Mon,
766-0000-001+TL,Plan Delivery Qty,2025-12-08 00:00:00,Tue,
766-0000-001+TL,Plan Delivery Qty,2025-12-08 00:00:00,Wed,
766-0000-001+TL,Plan Delivery Qty,2025-12-08 00:00:00,Thu,
766-0000-001+TL,Plan Delivery Qty,2025-12-08 00:00:00,Fri,
766-0000-001+TL,Plan Delivery Qty,2025-12-08 00:00:00,Sat,
766-0000-001+TL,Plan Delivery Qty,2025-12-15 00:00:00,Sun,
766-0000-001+TL,Plan Delivery Qty,2025-12-15 00:00:00,Mon,
766-0000-001+TL,Plan Delivery Qty,2025-12-15 00:00:00,Tue,
766-0000-001+TL,Plan Delivery Qty,2025-12-15 00:00:00,Wed,
766-0000-001+TL,Plan Delivery Qty,2025-12-15 00:00:00,Thu,
766-0000-001+TL,Plan Delivery Qty,2025-12-15 00:00:00,Fri,
766-0000-001+TL,Plan Delivery Qty,2025-12-15 00:00:00,Sat,
766-0000-001+TL,Plan Delivery Qty,2025-12-22 00:00:00,Sun,
766-0000-001+TL,Plan Delivery Qty,2025-12-22 00:00:00,Mon,
766-0000-001+TL,Plan Delivery Qty,2025-12-22 00:00:00,Tue,
766-0000-001+TL,Plan Delivery Qty,2025-12-22 00:00:00,Wed,
766-0000-001+TL,Plan Delivery Qty,2025-12-22 00:00:00,Thu,
766-0000-001+TL,Plan Delivery Qty,2025-12-22 00:00:00,Fri,
766-0020-002,Plan Build Qty,2025-11-17 00:00:00,Sat,
766-0020-002,Plan Build Qty,2025-11-24 00:00:00,Sun,
766-0020-002,Plan Build Qty,2025-11-24 00:00:00,Mon,1
766-0020-002,Plan Build Qty,2025-11-24 00:00:00,Tue,
766-0020-002,Plan Build Qty,2025-11-24 00:00:00,Wed,
766-0020-002,Plan Build Qty,2025-11-24 00:00:00,Thu,
