Item,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,2025-04-21 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-04-28 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-04-28 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-04-28 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-04-28 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-04-28 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-04-28 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-04-28 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-05-05 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-05-05 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-05-05 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-05-05 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-05-05 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-05-05 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-05-05 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-05-12 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-05-12 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-05-12 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-05-12 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-05-12 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-05-12 00:00:00,Fri,45
277-1017-010,Plan Build Qty,2025-05-12 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-05-19 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-05-19 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-05-19 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-05-19 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-05-19 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-05-19 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-04-21 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-04-28 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-04-28 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-04-28 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-04-28 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-04-28 00:00:00,Thu,
