Item Delivery,RowDesc,Monday of Week,Weekday,mMatrixValue
766-0000-001,Plan Delivery Qty,30-Dec-24,Fri,
766-0000-001,Plan Delivery Qty,30-Dec-24,Sat,
766-0000-001,Plan Delivery Qty,06-Jan-25,Sun,
766-0000-001,Plan Delivery Qty,06-Jan-25,Mon,
766-0000-001,Plan Delivery Qty,06-Jan-25,Tue,
766-0000-001,Plan Delivery Qty,06-Jan-25,Wed,
766-0000-001,Plan Delivery Qty,06-Jan-25,Thu,
766-0000-001,Plan Delivery Qty,06-Jan-25,Fri,
766-0000-001,Plan Delivery Qty,06-Jan-25,Sat,
766-0000-001,Plan Delivery Qty,13-Jan-25,Sun,
766-0000-001,Plan Delivery Qty,13-Jan-25,Mon,
766-0000-001,Plan Delivery Qty,13-Jan-25,Tue,
766-0000-001,Plan Delivery Qty,13-Jan-25,Wed,
766-0000-001,Plan Delivery Qty,13-Jan-25,Thu,
766-0000-001,Plan Delivery Qty,13-Jan-25,Fri,
766-0000-001,Plan Delivery Qty,13-Jan-25,Sat,
766-0000-001,Plan Delivery Qty,20-Jan-25,Sun,
766-0000-001,Plan Delivery Qty,20-Jan-25,Mon,
766-0000-001,Plan Delivery Qty,20-Jan-25,Tue,
766-0000-001,Plan Delivery Qty,20-Jan-25,Wed,
766-0000-001,Plan Delivery Qty,20-Jan-25,Thu,
766-0000-001,Plan Delivery Qty,20-Jan-25,Fri,
766-0000-001+TL,Plan Build Qty,23-Dec-24,Sat,
766-0000-001+TL,Plan Build Qty,30-Dec-24,Sun,
766-0000-001+TL,Plan Build Qty,30-Dec-24,Mon,
766-0000-001+TL,Plan Build Qty,30-Dec-24,Tue,
766-0000-001+TL,Plan Build Qty,30-Dec-24,Wed,
766-0000-001+TL,Plan Build Qty,30-Dec-24,Thu,
766-0000-001+TL,Plan Build Qty,30-Dec-24,Fri,
766-0000-001+TL,Plan Build Qty,30-Dec-24,Sat,
766-0000-001+TL,Plan Build Qty,06-Jan-25,Sun,
766-0000-001+TL,Plan Build Qty,06-Jan-25,Mon,
766-0000-001+TL,Plan Build Qty,06-Jan-25,Tue,
766-0000-001+TL,Plan Build Qty,06-Jan-25,Wed,
766-0000-001+TL,Plan Build Qty,06-Jan-25,Thu,
766-0000-001+TL,Plan Build Qty,06-Jan-25,Fri,
766-0000-001+TL,Plan Build Qty,06-Jan-25,Sat,
766-0000-001+TL,Plan Build Qty,13-Jan-25,Sun,
766-0000-001+TL,Plan Build Qty,13-Jan-25,Mon,
766-0000-001+TL,Plan Build Qty,13-Jan-25,Tue,
766-0000-001+TL,Plan Build Qty,13-Jan-25,Wed,
766-0000-001+TL,Plan Build Qty,13-Jan-25,Thu,
766-0000-001+TL,Plan Build Qty,13-Jan-25,Fri,
766-0000-001+TL,Plan Build Qty,13-Jan-25,Sat,
766-0000-001+TL,Plan Build Qty,20-Jan-25,Sun,
766-0000-001+TL,Plan Build Qty,20-Jan-25,Mon,
766-0000-001+TL,Plan Build Qty,20-Jan-25,Tue,
766-0000-001+TL,Plan Build Qty,20-Jan-25,Wed,
766-0000-001+TL,Plan Build Qty,20-Jan-25,Thu,
766-0000-001+TL,Plan Build Qty,20-Jan-25,Fri,
766-0000-001+TL,Plan Delivery Qty,23-Dec-24,Sat,
766-0000-001+TL,Plan Delivery Qty,30-Dec-24,Sun,
766-0000-001+TL,Plan Delivery Qty,30-Dec-24,Mon,
766-0000-001+TL,Plan Delivery Qty,30-Dec-24,Tue,
766-0000-001+TL,Plan Delivery Qty,30-Dec-24,Wed,
766-0000-001+TL,Plan Delivery Qty,30-Dec-24,Thu,
766-0000-001+TL,Plan Delivery Qty,30-Dec-24,Fri,
766-0000-001+TL,Plan Delivery Qty,30-Dec-24,Sat,
766-0000-001+TL,Plan Delivery Qty,06-Jan-25,Sun,
766-0000-001+TL,Plan Delivery Qty,06-Jan-25,Mon,
766-0000-001+TL,Plan Delivery Qty,06-Jan-25,Tue,
766-0000-001+TL,Plan Delivery Qty,06-Jan-25,Wed,
766-0000-001+TL,Plan Delivery Qty,06-Jan-25,Thu,
766-0000-001+TL,Plan Delivery Qty,06-Jan-25,Fri,
766-0000-001+TL,Plan Delivery Qty,06-Jan-25,Sat,
766-0000-001+TL,Plan Delivery Qty,13-Jan-25,Sun,
766-0000-001+TL,Plan Delivery Qty,13-Jan-25,Mon,
766-0000-001+TL,Plan Delivery Qty,13-Jan-25,Tue,
766-0000-001+TL,Plan Delivery Qty,13-Jan-25,Wed,
766-0000-001+TL,Plan Delivery Qty,13-Jan-25,Thu,
766-0000-001+TL,Plan Delivery Qty,13-Jan-25,Fri,
766-0000-001+TL,Plan Delivery Qty,13-Jan-25,Sat,
766-0000-001+TL,Plan Delivery Qty,20-Jan-25,Sun,
766-0000-001+TL,Plan Delivery Qty,20-Jan-25,Mon,
766-0000-001+TL,Plan Delivery Qty,20-Jan-25,Tue,
766-0000-001+TL,Plan Delivery Qty,20-Jan-25,Wed,
766-0000-001+TL,Plan Delivery Qty,20-Jan-25,Thu,
766-0000-001+TL,Plan Delivery Qty,20-Jan-25,Fri,
766-0101-001,Plan Build Qty,23-Dec-24,Sat,
766-0101-001,Plan Build Qty,30-Dec-24,Sun,
766-0101-001,Plan Build Qty,30-Dec-24,Mon,
766-0101-001,Plan Build Qty,30-Dec-24,Tue,
766-0101-001,Plan Build Qty,30-Dec-24,Wed,
766-0101-001,Plan Build Qty,30-Dec-24,Thu,
766-0101-001,Plan Build Qty,30-Dec-24,Fri,
766-0101-001,Plan Build Qty,30-Dec-24,Sat,
766-0101-001,Plan Build Qty,06-Jan-25,Sun,
766-0101-001,Plan Build Qty,06-Jan-25,Mon,
766-0101-001,Plan Build Qty,06-Jan-25,Tue,
766-0101-001,Plan Build Qty,06-Jan-25,Wed,
766-0101-001,Plan Build Qty,06-Jan-25,Thu,
766-0101-001,Plan Build Qty,06-Jan-25,Fri,
766-0101-001,Plan Build Qty,06-Jan-25,Sat,
766-0101-001,Plan Build Qty,13-Jan-25,Sun,
766-0101-001,Plan Build Qty,13-Jan-25,Mon,
766-0101-001,Plan Build Qty,13-Jan-25,Tue,
766-0101-001,Plan Build Qty,13-Jan-25,Wed,
766-0101-001,Plan Build Qty,13-Jan-25,Thu,
766-0101-001,Plan Build Qty,13-Jan-25,Fri,
766-0101-001,Plan Build Qty,13-Jan-25,Sat,
766-0101-001,Plan Build Qty,20-Jan-25,Sun,
766-0101-001,Plan Build Qty,20-Jan-25,Mon,
766-0101-001,Plan Build Qty,20-Jan-25,Tue,
766-0101-001,Plan Build Qty,20-Jan-25,Wed,
766-0101-001,Plan Build Qty,20-Jan-25,Thu,
766-0101-001,Plan Build Qty,20-Jan-25,Fri,
766-0101-001,Plan Delivery Qty,23-Dec-24,Sat,
766-0101-001,Plan Delivery Qty,30-Dec-24,Sun,
766-0101-001,Plan Delivery Qty,30-Dec-24,Mon,
766-0101-001,Plan Delivery Qty,30-Dec-24,Tue,
766-0101-001,Plan Delivery Qty,30-Dec-24,Wed,
766-0101-001,Plan Delivery Qty,30-Dec-24,Thu,
766-0101-001,Plan Delivery Qty,30-Dec-24,Fri,
766-0101-001,Plan Delivery Qty,30-Dec-24,Sat,
766-0101-001,Plan Delivery Qty,06-Jan-25,Sun,
766-0101-001,Plan Delivery Qty,06-Jan-25,Mon,
766-0101-001,Plan Delivery Qty,06-Jan-25,Tue,
766-0101-001,Plan Delivery Qty,06-Jan-25,Wed,
766-0101-001,Plan Delivery Qty,06-Jan-25,Thu,
766-0101-001,Plan Delivery Qty,06-Jan-25,Fri,
766-0101-001,Plan Delivery Qty,06-Jan-25,Sat,
766-0101-001,Plan Delivery Qty,13-Jan-25,Sun,
766-0101-001,Plan Delivery Qty,13-Jan-25,Mon,
766-0101-001,Plan Delivery Qty,13-Jan-25,Tue,
766-0101-001,Plan Delivery Qty,13-Jan-25,Wed,
766-0101-001,Plan Delivery Qty,13-Jan-25,Thu,
766-0101-001,Plan Delivery Qty,13-Jan-25,Fri,
766-0101-001,Plan Delivery Qty,13-Jan-25,Sat,
766-0101-001,Plan Delivery Qty,20-Jan-25,Sun,
766-0101-001,Plan Delivery Qty,20-Jan-25,Mon,
766-0101-001,Plan Delivery Qty,20-Jan-25,Tue,
766-0101-001,Plan Delivery Qty,20-Jan-25,Wed,
766-0101-001,Plan Delivery Qty,20-Jan-25,Thu,
766-0101-001,Plan Delivery Qty,20-Jan-25,Fri,
766-0101-001+TL,Plan Build Qty,23-Dec-24,Sat,
766-0101-001+TL,Plan Build Qty,30-Dec-24,Sun,
766-0101-001+TL,Plan Build Qty,30-Dec-24,Mon,
766-0101-001+TL,Plan Build Qty,30-Dec-24,Tue,
766-0101-001+TL,Plan Build Qty,30-Dec-24,Wed,
766-0101-001+TL,Plan Build Qty,30-Dec-24,Thu,
766-0101-001+TL,Plan Build Qty,30-Dec-24,Fri,
766-0101-001+TL,Plan Build Qty,30-Dec-24,Sat,
766-0101-001+TL,Plan Build Qty,06-Jan-25,Sun,
766-0101-001+TL,Plan Build Qty,06-Jan-25,Mon,
766-0101-001+TL,Plan Build Qty,06-Jan-25,Tue,
766-0101-001+TL,Plan Build Qty,06-Jan-25,Wed,
766-0101-001+TL,Plan Build Qty,06-Jan-25,Thu,
766-0101-001+TL,Plan Build Qty,06-Jan-25,Fri,
766-0101-001+TL,Plan Build Qty,06-Jan-25,Sat,
766-0101-001+TL,Plan Build Qty,13-Jan-25,Sun,
766-0101-001+TL,Plan Build Qty,13-Jan-25,Mon,
766-0101-001+TL,Plan Build Qty,13-Jan-25,Tue,
766-0101-001+TL,Plan Build Qty,13-Jan-25,Wed,
766-0101-001+TL,Plan Build Qty,13-Jan-25,Thu,
766-0101-001+TL,Plan Build Qty,13-Jan-25,Fri,
766-0101-001+TL,Plan Build Qty,13-Jan-25,Sat,
766-0101-001+TL,Plan Build Qty,20-Jan-25,Sun,
766-0101-001+TL,Plan Build Qty,20-Jan-25,Mon,
766-0101-001+TL,Plan Build Qty,20-Jan-25,Tue,
766-0101-001+TL,Plan Build Qty,20-Jan-25,Wed,
766-0101-001+TL,Plan Build Qty,20-Jan-25,Thu,
766-0101-001+TL,Plan Build Qty,20-Jan-25,Fri,
766-0101-001+TL,Plan Delivery Qty,23-Dec-24,Sat,
766-0101-001+TL,Plan Delivery Qty,30-Dec-24,Sun,
766-0101-001+TL,Plan Delivery Qty,30-Dec-24,Mon,
766-0101-001+TL,Plan Delivery Qty,30-Dec-24,Tue,
766-0101-001+TL,Plan Delivery Qty,30-Dec-24,Wed,
766-0101-001+TL,Plan Delivery Qty,30-Dec-24,Thu,
766-0101-001+TL,Plan Delivery Qty,30-Dec-24,Fri,
766-0101-001+TL,Plan Delivery Qty,30-Dec-24,Sat,
766-0101-001+TL,Plan Delivery Qty,06-Jan-25,Sun,
766-0101-001+TL,Plan Delivery Qty,06-Jan-25,Mon,
766-0101-001+TL,Plan Delivery Qty,06-Jan-25,Tue,
766-0101-001+TL,Plan Delivery Qty,06-Jan-25,Wed,
766-0101-001+TL,Plan Delivery Qty,06-Jan-25,Thu,
766-0101-001+TL,Plan Delivery Qty,06-Jan-25,Fri,
766-0101-001+TL,Plan Delivery Qty,06-Jan-25,Sat,
766-0101-001+TL,Plan Delivery Qty,13-Jan-25,Sun,
766-0101-001+TL,Plan Delivery Qty,13-Jan-25,Mon,
766-0101-001+TL,Plan Delivery Qty,13-Jan-25,Tue,
766-0101-001+TL,Plan Delivery Qty,13-Jan-25,Wed,
766-0101-001+TL,Plan Delivery Qty,13-Jan-25,Thu,
766-0101-001+TL,Plan Delivery Qty,13-Jan-25,Fri,
766-0101-001+TL,Plan Delivery Qty,13-Jan-25,Sat,
766-0101-001+TL,Plan Delivery Qty,20-Jan-25,Sun,
766-0101-001+TL,Plan Delivery Qty,20-Jan-25,Mon,
766-0101-001+TL,Plan Delivery Qty,20-Jan-25,Tue,
766-0101-001+TL,Plan Delivery Qty,20-Jan-25,Wed,
766-0101-001+TL,Plan Delivery Qty,20-Jan-25,Thu,
766-0101-001+TL,Plan Delivery Qty,20-Jan-25,Fri,
822-0452-005,Plan Build Qty,23-Dec-24,Sat,
822-0452-005,Plan Build Qty,30-Dec-24,Sun,
822-0452-005,Plan Build Qty,30-Dec-24,Mon,
822-0452-005,Plan Build Qty,30-Dec-24,Tue,
822-0452-005,Plan Build Qty,30-Dec-24,Wed,
822-0452-005,Plan Build Qty,30-Dec-24,Thu,
822-0452-005,Plan Build Qty,30-Dec-24,Fri,
822-0452-005,Plan Build Qty,30-Dec-24,Sat,
822-0452-005,Plan Build Qty,06-Jan-25,Sun,
822-0452-005,Plan Build Qty,06-Jan-25,Mon,
822-0452-005,Plan Build Qty,06-Jan-25,Tue,
822-0452-005,Plan Build Qty,06-Jan-25,Wed,
822-0452-005,Plan Build Qty,06-Jan-25,Thu,
822-0452-005,Plan Build Qty,06-Jan-25,Fri,
822-0452-005,Plan Build Qty,06-Jan-25,Sat,
822-0452-005,Plan Build Qty,13-Jan-25,Sun,
822-0452-005,Plan Build Qty,13-Jan-25,Mon,
822-0452-005,Plan Build Qty,13-Jan-25,Tue,
822-0452-005,Plan Build Qty,13-Jan-25,Wed,
822-0452-005,Plan Build Qty,13-Jan-25,Thu,
822-0452-005,Plan Build Qty,13-Jan-25,Fri,
822-0452-005,Plan Build Qty,13-Jan-25,Sat,
822-0452-005,Plan Build Qty,20-Jan-25,Sun,
822-0452-005,Plan Build Qty,20-Jan-25,Mon,
822-0452-005,Plan Build Qty,20-Jan-25,Tue,
822-0452-005,Plan Build Qty,20-Jan-25,Wed,
822-0452-005,Plan Build Qty,20-Jan-25,Thu,
822-0452-005,Plan Build Qty,20-Jan-25,Fri,
822-0452-005,Plan Delivery Qty,23-Dec-24,Sat,
822-0452-005,Plan Delivery Qty,30-Dec-24,Sun,
822-0452-005,Plan Delivery Qty,30-Dec-24,Mon,
822-0452-005,Plan Delivery Qty,30-Dec-24,Tue,
822-0452-005,Plan Delivery Qty,30-Dec-24,Wed,
822-0452-005,Plan Delivery Qty,30-Dec-24,Thu,
822-0452-005,Plan Delivery Qty,30-Dec-24,Fri,
822-0452-005,Plan Delivery Qty,30-Dec-24,Sat,
822-0452-005,Plan Delivery Qty,06-Jan-25,Sun,
822-0452-005,Plan Delivery Qty,06-Jan-25,Mon,
822-0452-005,Plan Delivery Qty,06-Jan-25,Tue,
822-0452-005,Plan Delivery Qty,06-Jan-25,Wed,
822-0452-005,Plan Delivery Qty,06-Jan-25,Thu,
822-0452-005,Plan Delivery Qty,06-Jan-25,Fri,
822-0452-005,Plan Delivery Qty,06-Jan-25,Sat,
822-0452-005,Plan Delivery Qty,13-Jan-25,Sun,
822-0452-005,Plan Delivery Qty,13-Jan-25,Mon,
822-0452-005,Plan Delivery Qty,13-Jan-25,Tue,
822-0452-005,Plan Delivery Qty,13-Jan-25,Wed,
822-0452-005,Plan Delivery Qty,13-Jan-25,Thu,
822-0452-005,Plan Delivery Qty,13-Jan-25,Fri,
822-0452-005,Plan Delivery Qty,13-Jan-25,Sat,
822-0452-005,Plan Delivery Qty,20-Jan-25,Sun,
822-0452-005,Plan Delivery Qty,20-Jan-25,Mon,
822-0452-005,Plan Delivery Qty,20-Jan-25,Tue,
822-0452-005,Plan Delivery Qty,20-Jan-25,Wed,
822-0452-005,Plan Delivery Qty,20-Jan-25,Thu,
822-0452-005,Plan Delivery Qty,20-Jan-25,Fri,
822-0453-005,Plan Build Qty,23-Dec-24,Sat,
822-0453-005,Plan Build Qty,30-Dec-24,Sun,
822-0453-005,Plan Build Qty,30-Dec-24,Mon,
822-0453-005,Plan Build Qty,30-Dec-24,Tue,
822-0453-005,Plan Build Qty,30-Dec-24,Wed,
822-0453-005,Plan Build Qty,30-Dec-24,Thu,
822-0453-005,Plan Build Qty,30-Dec-24,Fri,
822-0453-005,Plan Build Qty,30-Dec-24,Sat,
822-0453-005,Plan Build Qty,06-Jan-25,Sun,
822-0453-005,Plan Build Qty,06-Jan-25,Mon,
822-0453-005,Plan Build Qty,06-Jan-25,Tue,
822-0453-005,Plan Build Qty,06-Jan-25,Wed,
822-0453-005,Plan Build Qty,06-Jan-25,Thu,
822-0453-005,Plan Build Qty,06-Jan-25,Fri,
822-0453-005,Plan Build Qty,06-Jan-25,Sat,
822-0453-005,Plan Build Qty,13-Jan-25,Sun,
822-0453-005,Plan Build Qty,13-Jan-25,Mon,
822-0453-005,Plan Build Qty,13-Jan-25,Tue,
822-0453-005,Plan Build Qty,13-Jan-25,Wed,
822-0453-005,Plan Build Qty,13-Jan-25,Thu,
822-0453-005,Plan Build Qty,13-Jan-25,Fri,
822-0453-005,Plan Build Qty,13-Jan-25,Sat,
822-0453-005,Plan Build Qty,20-Jan-25,Sun,
822-0453-005,Plan Build Qty,20-Jan-25,Mon,
822-0453-005,Plan Build Qty,20-Jan-25,Tue,
822-0453-005,Plan Build Qty,20-Jan-25,Wed,
822-0453-005,Plan Build Qty,20-Jan-25,Thu,
822-0453-005,Plan Build Qty,20-Jan-25,Fri,
822-0453-005,Plan Delivery Qty,23-Dec-24,Sat,
822-0453-005,Plan Delivery Qty,30-Dec-24,Sun,
822-0453-005,Plan Delivery Qty,30-Dec-24,Mon,
822-0453-005,Plan Delivery Qty,30-Dec-24,Tue,
822-0453-005,Plan Delivery Qty,30-Dec-24,Wed,
822-0453-005,Plan Delivery Qty,30-Dec-24,Thu,
822-0453-005,Plan Delivery Qty,30-Dec-24,Fri,
822-0453-005,Plan Delivery Qty,30-Dec-24,Sat,
822-0453-005,Plan Delivery Qty,06-Jan-25,Sun,
822-0453-005,Plan Delivery Qty,06-Jan-25,Mon,
822-0453-005,Plan Delivery Qty,06-Jan-25,Tue,
822-0453-005,Plan Delivery Qty,06-Jan-25,Wed,
822-0453-005,Plan Delivery Qty,06-Jan-25,Thu,
822-0453-005,Plan Delivery Qty,06-Jan-25,Fri,
822-0453-005,Plan Delivery Qty,06-Jan-25,Sat,
822-0453-005,Plan Delivery Qty,13-Jan-25,Sun,
822-0453-005,Plan Delivery Qty,13-Jan-25,Mon,
822-0453-005,Plan Delivery Qty,13-Jan-25,Tue,
822-0453-005,Plan Delivery Qty,13-Jan-25,Wed,
822-0453-005,Plan Delivery Qty,13-Jan-25,Thu,
822-0453-005,Plan Delivery Qty,13-Jan-25,Fri,
822-0453-005,Plan Delivery Qty,13-Jan-25,Sat,
822-0453-005,Plan Delivery Qty,20-Jan-25,Sun,
822-0453-005,Plan Delivery Qty,20-Jan-25,Mon,
822-0453-005,Plan Delivery Qty,20-Jan-25,Tue,
822-0453-005,Plan Delivery Qty,20-Jan-25,Wed,
822-0453-005,Plan Delivery Qty,20-Jan-25,Thu,
822-0453-005,Plan Delivery Qty,20-Jan-25,Fri,
822-0453-015,Plan Build Qty,23-Dec-24,Sat,
822-0453-015,Plan Build Qty,30-Dec-24,Sun,
822-0453-015,Plan Build Qty,30-Dec-24,Mon,
