Item Delivery,RowDesc,Monday of Week,Weekday,mMatrixValue
601-0600-008,Plan Delivery Qty,13-Jan-25,Sat,
601-0600-008,Plan Delivery Qty,20-Jan-25,Sun,
601-0600-008,Plan Delivery Qty,20-Jan-25,Mon,
601-0600-008,Plan Delivery Qty,20-Jan-25,Tue,900
601-0600-008,Plan Delivery Qty,20-Jan-25,Wed,
601-0600-008,Plan Delivery Qty,20-Jan-25,Thu,
601-0600-008,Plan Delivery Qty,20-Jan-25,Fri,
766-0000-001,Plan Build Qty,23-Dec-24,Sat,
766-0000-001,Plan Build Qty,30-Dec-24,Sun,
766-0000-001,Plan Build Qty,30-Dec-24,Mon,
766-0000-001,Plan Build Qty,30-Dec-24,Tue,
766-0000-001,Plan Build Qty,30-Dec-24,Wed,
766-0000-001,Plan Build Qty,30-Dec-24,Thu,
766-0000-001,Plan Build Qty,30-Dec-24,Fri,
766-0000-001,Plan Build Qty,30-Dec-24,Sat,
766-0000-001,Plan Build Qty,06-Jan-25,Sun,
766-0000-001,Plan Build Qty,06-Jan-25,Mon,
766-0000-001,Plan Build Qty,06-Jan-25,Tue,
766-0000-001,Plan Build Qty,06-Jan-25,Wed,
766-0000-001,Plan Build Qty,06-Jan-25,Thu,
766-0000-001,Plan Build Qty,06-Jan-25,Fri,
766-0000-001,Plan Build Qty,06-Jan-25,Sat,
766-0000-001,Plan Build Qty,13-Jan-25,Sun,
766-0000-001,Plan Build Qty,13-Jan-25,Mon,
766-0000-001,Plan Build Qty,13-Jan-25,Tue,
766-0000-001,Plan Build Qty,13-Jan-25,Wed,
766-0000-001,Plan Build Qty,13-Jan-25,Thu,
766-0000-001,Plan Build Qty,13-Jan-25,Fri,
766-0000-001,Plan Build Qty,13-Jan-25,Sat,
766-0000-001,Plan Build Qty,20-Jan-25,Sun,
766-0000-001,Plan Build Qty,20-Jan-25,Mon,
766-0000-001,Plan Build Qty,20-Jan-25,Tue,
766-0000-001,Plan Build Qty,20-Jan-25,Wed,
766-0000-001,Plan Build Qty,20-Jan-25,Thu,
766-0000-001,Plan Build Qty,20-Jan-25,Fri,
766-0000-001,Plan Delivery Qty,23-Dec-24,Sat,
766-0000-001,Plan Delivery Qty,30-Dec-24,Sun,
766-0000-001,Plan Delivery Qty,30-Dec-24,Mon,
766-0000-001,Plan Delivery Qty,30-Dec-24,Tue,
766-0000-001,Plan Delivery Qty,30-Dec-24,Wed,
766-0000-001,Plan Delivery Qty,30-Dec-24,Thu,
