Item,RowDesc,Monday of Week,Weekday,mMatrixValue
601-0600-008,Plan Build Qty,9/15/2025 0:00,Thu,
601-0600-008,Plan Build Qty,9/15/2025 0:00,Fri,
601-0600-008,Plan Build Qty,9/15/2025 0:00,Sat,
601-0600-008,Plan Build Qty,9/22/2025 0:00,Sun,
601-0600-008,Plan Build Qty,9/22/2025 0:00,Mon,
601-0600-008,Plan Build Qty,9/22/2025 0:00,Tue,
601-0600-008,Plan Build Qty,9/22/2025 0:00,Wed,
601-0600-008,Plan Build Qty,9/22/2025 0:00,Thu,
601-0600-008,Plan Build Qty,9/22/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,8/18/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,8/25/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,8/25/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,8/25/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,8/25/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,8/25/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,8/25/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,8/25/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,9/1/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,9/1/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,9/1/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,9/1/2025 0:00,Wed,330
601-0600-008,Plan Delivery Qty,9/1/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,9/1/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,9/1/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,9/8/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,9/8/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,9/8/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,9/8/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,9/8/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,9/8/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,9/8/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,9/15/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,9/15/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,9/15/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,9/15/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,9/15/2025 0:00,Thu,
601-0600-008,Plan Delivery Qty,9/15/2025 0:00,Fri,
601-0600-008,Plan Delivery Qty,9/15/2025 0:00,Sat,
601-0600-008,Plan Delivery Qty,9/22/2025 0:00,Sun,
601-0600-008,Plan Delivery Qty,9/22/2025 0:00,Mon,
601-0600-008,Plan Delivery Qty,9/22/2025 0:00,Tue,
601-0600-008,Plan Delivery Qty,9/22/2025 0:00,Wed,
601-0600-008,Plan Delivery Qty,9/22/2025 0:00,Thu,1890
601-0600-008,Plan Delivery Qty,9/22/2025 0:00,Fri,
766-0000-001,Plan Build Qty,8/18/2025 0:00,Sat,
766-0000-001,Plan Build Qty,8/25/2025 0:00,Sun,
766-0000-001,Plan Build Qty,8/25/2025 0:00,Mon,28
766-0000-001,Plan Build Qty,8/25/2025 0:00,Tue,
766-0000-001,Plan Build Qty,8/25/2025 0:00,Wed,
766-0000-001,Plan Build Qty,8/25/2025 0:00,Thu,
766-0000-001,Plan Build Qty,8/25/2025 0:00,Fri,
766-0000-001,Plan Build Qty,8/25/2025 0:00,Sat,
766-0000-001,Plan Build Qty,9/1/2025 0:00,Sun,
766-0000-001,Plan Build Qty,9/1/2025 0:00,Mon,
766-0000-001,Plan Build Qty,9/1/2025 0:00,Tue,
766-0000-001,Plan Build Qty,9/1/2025 0:00,Wed,
766-0000-001,Plan Build Qty,9/1/2025 0:00,Thu,
766-0000-001,Plan Build Qty,9/1/2025 0:00,Fri,
766-0000-001,Plan Build Qty,9/1/2025 0:00,Sat,
766-0000-001,Plan Build Qty,9/8/2025 0:00,Sun,
766-0000-001,Plan Build Qty,9/8/2025 0:00,Mon,
766-0000-001,Plan Build Qty,9/8/2025 0:00,Tue,
766-0000-001,Plan Build Qty,9/8/2025 0:00,Wed,
766-0000-001,Plan Build Qty,9/8/2025 0:00,Thu,
766-0000-001,Plan Build Qty,9/8/2025 0:00,Fri,
766-0000-001,Plan Build Qty,9/8/2025 0:00,Sat,
766-0000-001,Plan Build Qty,9/15/2025 0:00,Sun,
766-0000-001,Plan Build Qty,9/15/2025 0:00,Mon,
766-0000-001,Plan Build Qty,9/15/2025 0:00,Tue,
766-0000-001,Plan Build Qty,9/15/2025 0:00,Wed,
766-0000-001,Plan Build Qty,9/15/2025 0:00,Thu,
766-0000-001,Plan Build Qty,9/15/2025 0:00,Fri,
766-0000-001,Plan Build Qty,9/15/2025 0:00,Sat,
766-0000-001,Plan Build Qty,9/22/2025 0:00,Sun,
766-0000-001,Plan Build Qty,9/22/2025 0:00,Mon,
766-0000-001,Plan Build Qty,9/22/2025 0:00,Tue,
766-0000-001,Plan Build Qty,9/22/2025 0:00,Wed,
766-0000-001,Plan Build Qty,9/22/2025 0:00,Thu,
766-0000-001,Plan Build Qty,9/22/2025 0:00,Fri,
766-0000-001,Plan Delivery Qty,8/18/2025 0:00,Sat,
766-0000-001,Plan Delivery Qty,8/25/2025 0:00,Sun,
766-0000-001,Plan Delivery Qty,8/25/2025 0:00,Mon,4
766-0000-001,Plan Delivery Qty,8/25/2025 0:00,Tue,24
766-0000-001,Plan Delivery Qty,8/25/2025 0:00,Wed,
766-0000-001,Plan Delivery Qty,8/25/2025 0:00,Thu,
766-0000-001,Plan Delivery Qty,8/25/2025 0:00,Fri,
