Item Delivery,RowDesc,Monday of Week,Weekday,mMatrixValue
766-0000-001+TL,Plan Build Qty,17-Feb-25,Wed,
766-0000-001+TL,Plan Build Qty,17-Feb-25,Thu,
766-0000-001+TL,Plan Build Qty,17-Feb-25,Fri,
766-0000-001+TL,Plan Delivery Qty,20-Jan-25,Fri,
766-0000-001+TL,Plan Delivery Qty,20-Jan-25,Sat,
766-0000-001+TL,Plan Delivery Qty,27-Jan-25,Sun,
766-0000-001+TL,Plan Delivery Qty,27-Jan-25,Mon,
766-0000-001+TL,Plan Delivery Qty,27-Jan-25,Tue,
766-0000-001+TL,Plan Delivery Qty,27-Jan-25,Wed,
766-0000-001+TL,Plan Delivery Qty,27-Jan-25,Thu,
766-0000-001+TL,Plan Delivery Qty,27-Jan-25,Fri,
766-0000-001+TL,Plan Delivery Qty,27-Jan-25,Sat,
766-0000-001+TL,Plan Delivery Qty,3-Feb-25,Sun,
766-0000-001+TL,Plan Delivery Qty,3-Feb-25,Mon,
766-0000-001+TL,Plan Delivery Qty,3-Feb-25,Tue,
766-0000-001+TL,Plan Delivery Qty,3-Feb-25,Wed,
766-0000-001+TL,Plan Delivery Qty,3-Feb-25,Thu,
766-0000-001+TL,Plan Delivery Qty,3-Feb-25,Fri,
766-0000-001+TL,Plan Delivery Qty,3-Feb-25,Sat,
766-0000-001+TL,Plan Delivery Qty,10-Feb-25,Sun,
766-0000-001+TL,Plan Delivery Qty,10-Feb-25,Mon,
766-0000-001+TL,Plan Delivery Qty,10-Feb-25,Tue,
766-0000-001+TL,Plan Delivery Qty,10-Feb-25,Wed,
766-0000-001+TL,Plan Delivery Qty,10-Feb-25,Thu,
766-0000-001+TL,Plan Delivery Qty,10-Feb-25,Fri,
766-0000-001+TL,Plan Delivery Qty,10-Feb-25,Sat,
766-0000-001+TL,Plan Delivery Qty,17-Feb-25,Sun,
766-0000-001+TL,Plan Delivery Qty,17-Feb-25,Mon,
766-0000-001+TL,Plan Delivery Qty,17-Feb-25,Tue,
766-0000-001+TL,Plan Delivery Qty,17-Feb-25,Wed,
