Item,RowDesc,Monday of Week,Weekday,mMatrixValue
601-0600-008,Plan Delivery Qty,2025-09-29 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-10-06 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-10-06 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-10-06 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-10-06 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-10-06 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-10-06 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-10-06 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-10-13 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-10-13 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-10-13 00:00:00,Tue,1260
601-0600-008,Plan Delivery Qty,2025-10-13 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-10-13 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-10-13 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-10-13 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-10-20 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-10-20 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-10-20 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-10-20 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-10-20 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-10-20 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-09-22 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-09-29 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-09-29 00:00:00,Mon,24
766-0000-001,Plan Build Qty,2025-09-29 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-09-29 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-09-29 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-09-29 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-09-29 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-10-06 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-10-06 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-10-06 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-10-06 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-10-06 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-10-06 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-10-06 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-10-13 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-10-13 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-10-13 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-10-13 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-10-13 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-10-13 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-10-13 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-10-20 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-10-20 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-10-20 00:00:00,Tue,52
766-0000-001,Plan Build Qty,2025-10-20 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-10-20 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-10-20 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-09-22 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-09-29 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-09-29 00:00:00,Mon,4
766-0000-001,Plan Delivery Qty,2025-09-29 00:00:00,Tue,20
766-0000-001,Plan Delivery Qty,2025-09-29 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-09-29 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-09-29 00:00:00,Fri,
