"MSIB_INVENTORY_ITEM_ID","MSIB_SEGMENT1","MP_PLANNER_CODE","MP_ORGANIZATION_ID","MP_DESCRIPTION"
12505345,"685-7550-006","160",1213,"Phillips, Hannah"
12505385,"685-7550-007","160",1213,"Phillips, Hannah"
12505386,"685-7550-010","160",1213,"Phillips, Hannah"
12505010,"685-7550-021","160",1213,"Phillips, Hannah"
12505101,"685-7550-030","160",1213,"Phillips, Hannah"
12505102,"685-7550-040","160",1213,"Phillips, Hannah"
12505103,"685-7550-110","160",1213,"Phillips, Hannah"
12506672,"685-8151-001","160",1213,"Phillips, Hannah"
12506715,"685-8155-001","160",1213,"Phillips, Hannah"
12506717,"685-8157-001","160",1213,"Phillips, Hannah"
12505104,"685-7550-115","160",1213,"Phillips, Hannah"
12505105,"685-7550-120","160",1213,"Phillips, Hannah"
12505108,"685-7550-600","160",1213,"Phillips, Hannah"
12504417,"685-7551-006","160",1213,"Phillips, Hannah"
12504456,"685-7552-002","160",1213,"Phillips, Hannah"
12506072,"685-8159-001","160",1213,"Phillips, Hannah"
12504415,"685-7552-003","160",1213,"Phillips, Hannah"
12504457,"685-7552-010","160",1213,"Phillips, Hannah"
12504458,"685-7552-015","160",1213,"Phillips, Hannah"
12504459,"685-7552-020","160",1213,"Phillips, Hannah"
12504460,"685-7552-025","160",1213,"Phillips, Hannah"
12504461,"685-7552-030","160",1213,"Phillips, Hannah"
12504462,"685-7552-040","160",1213,"Phillips, Hannah"
12536451,"687-4081-002","160",1213,"Phillips, Hannah"
12536448,"687-4082-002","160",1213,"Phillips, Hannah"
12504276,"685-7553-007","160",1213,"Phillips, Hannah"
12504235,"685-7589-001","160",1213,"Phillips, Hannah"
12504278,"685-7591-004","160",1213,"Phillips, Hannah"
12504279,"685-7591-006","160",1213,"Phillips, Hannah"
12504280,"685-7591-010","160",1213,"Phillips, Hannah"
12504281,"685-7591-021","160",1213,"Phillips, Hannah"
12504282,"685-7591-030","160",1213,"Phillips, Hannah"
12504283,"685-7591-040","160",1213,"Phillips, Hannah"
12504284,"685-7591-050","160",1213,"Phillips, Hannah"
12507169,"685-7591-060","160",1213,"Phillips, Hannah"
12507209,"685-7592-002","160",1213,"Phillips, Hannah"
12507210,"685-7592-010","160",1213,"Phillips, Hannah"
12507168,"685-7592-021","160",1213,"Phillips, Hannah"
12507211,"685-7592-030","160",1213,"Phillips, Hannah"
12507212,"685-7592-040","160",1213,"Phillips, Hannah"
12504332,"685-7889-001","160",1213,"Phillips, Hannah"
12504333,"685-7889-010","160",1213,"Phillips, Hannah"
12507219,"685-7889-021","160",1213,"Phillips, Hannah"
12507220,"685-7889-030","160",1213,"Phillips, Hannah"
12507221,"685-7889-040","160",1213,"Phillips, Hannah"
12507213,"685-7592-050","160",1213,"Phillips, Hannah"
12507214,"685-7592-060","160",1213,"Phillips, Hannah"
12501453,"685-8186-003","160",1213,"Phillips, Hannah"
12501450,"685-8186-004","160",1213,"Phillips, Hannah"
12506571,"685-7912-002","160",1213,"Phillips, Hannah"
12506568,"685-7912-010","160",1213,"Phillips, Hannah"
12505378,"685-7998-001","160",1213,"Phillips, Hannah"
12505379,"685-7998-002","160",1213,"Phillips, Hannah"
12505438,"685-7998-003","160",1213,"Phillips, Hannah"
12506019,"685-7927-008","160",1213,"Phillips, Hannah"
12505842,"685-7927-009","160",1213,"Phillips, Hannah"
12505843,"685-7927-010","160",1213,"Phillips, Hannah"
12505844,"685-7927-020","160",1213,"Phillips, Hannah"
12503684,"685-8216-003","160",1213,"Phillips, Hannah"
12503688,"685-8216-004","160",1213,"Phillips, Hannah"
12503689,"685-8216-005","160",1213,"Phillips, Hannah"
12503835,"685-8216-008","160",1213,"Phillips, Hannah"
12503836,"685-8216-009","160",1213,"Phillips, Hannah"
